OBJECTID,FID_OutputLines,FID_Intersections
899,15257,2083
900,15257,2084
901,15836,203
902,15836,204
903,16220,2483
904,16220,2484
905,16254,2749
906,16254,2750
907,18540,2227
908,18540,2228
909,18582,595
910,18582,596
911,18837,2637
912,18837,2638
913,18838,2661
914,18838,2662
915,18846,1833
916,18846,1834
917,18848,2071
918,18848,2072
919,18862,2297
920,18862,2298
921,18879,1007
922,18879,1008
923,61,3361
924,61,3362
925,61,3363
926,62,3367
927,62,3368
928,62,3369
929,63,3370
930,63,3371
931,63,3372
932,70,3589
933,70,3590
934,70,3591
935,70,3592
936,70,3593
937,70,3594
938,71,3925
939,71,3926
940,71,3927
941,86,3985
942,86,3986
943,86,3987
944,88,3808
945,88,3809
946,88,3810
947,109,3820
948,109,3821
949,109,3822
950,127,3829
951,127,3830
952,127,3831
953,134,3832
954,134,3833
955,134,3834
956,140,3844
957,140,3845
958,140,3846
959,141,3850
960,141,3851
961,141,3852
962,143,3853
963,143,3854
964,143,3855
965,145,3961
966,145,3962
967,145,3963
968,149,3859
969,149,3860
970,149,3861
971,152,3868
972,152,3869
973,152,3870
974,158,3877
975,158,3878
976,158,3879
977,162,3883
978,162,3884
979,162,3885
980,163,3889
981,163,3890
982,163,3891
983,164,3892
984,164,3893
985,164,3894
986,166,3898
987,166,3899
988,166,3900
989,168,3910
990,168,3911
991,168,3912
992,173,3949
993,173,3950
994,173,3951
995,174,3928
996,174,3929
997,174,3930
998,175,3931
999,175,3932
1000,175,3933
1001,177,3952
1002,177,3953
1003,177,3954
1004,178,3964
1005,178,3965
1006,178,3966
1007,179,3967
1008,179,3968
1009,179,3969
1010,180,3970
1011,180,3971
1012,180,3972
1013,181,3988
1014,181,3989
1015,181,3990
1016,182,3991
1017,182,3992
1018,182,3993
1019,183,3994
1020,183,3995
1021,183,3996
1022,184,3997
1023,184,3998
1024,184,3999
1025,186,4009
1026,186,4010
1027,186,4011
1028,187,4012
1029,187,4013
1030,187,4014
1031,240,4522
1032,240,4523
1033,240,4524
1034,300,4540
1035,300,4541
1036,300,4542
1037,302,5050
1038,302,5051
1039,302,5052
1040,303,4738
1041,303,4739
1042,303,4740
1043,304,4735
1044,304,4736
1045,304,4737
1046,308,4744
1047,308,4745
1048,308,4746
1049,309,4741
1050,309,4742
1051,309,4743
1052,317,4903
1053,317,4904
1054,317,4905
1055,346,4915
1056,346,4916
1057,346,4917
1058,352,4921
1059,352,4922
1060,352,4923
1061,353,4918
1062,353,4919
1063,353,4920
1064,354,4930
1065,354,4931
1066,354,4932
1067,355,4936
1068,355,4937
1069,355,4938
1070,357,4939
1071,357,4940
1072,357,4941
1073,357,4942
1074,357,4943
1075,357,4944
1076,368,4945
1077,368,4946
1078,368,4947
1079,375,4966
1080,375,4967
1081,375,4968
1082,376,4972
1083,376,4973
1084,376,4974
1085,380,4975
1086,380,4976
1087,380,4977
1088,382,4981
1089,382,4982
1090,382,4983
1091,385,4993
