OBJECTID,Road_OBJECTID,LINEARID,Long,Lat
20636,19925,110459346223,-88.059785,43.032976
20637,19926,110459346223,-88.059785,43.032976
20638,17302,110459348138,-88.01199,42.990049
20639,17303,110459348138,-88.01199,42.990049
20640,26104,110459337965,-88.01199,42.990049
20641,17302,110459348138,-88.010916,42.990246
20642,27778,110459346801,-88.010916,42.990246
20643,27779,110459346801,-88.010916,42.990246
20644,17304,110459341730,-88.053807,43.013523
20645,24412,110459339385,-88.053807,43.013523
20646,24415,110459339385,-88.053807,43.013523
20647,17306,110459343998,-88.037979,43.015011
20648,26847,110459339151,-88.037979,43.015011
20649,26848,110459339151,-88.037979,43.015011
20650,17307,110459346725,-87.95065,43.120071
20651,37046,1102968798784,-87.95065,43.120071
20652,37049,1102968798784,-87.95065,43.120071
20653,17308,110459341236,-87.951437,43.115524
20654,17319,110459341236,-87.951437,43.115524
20655,32286,110459336701,-87.951437,43.115524
20656,17310,110459341236,-87.963576,43.115618
20657,17315,110459341236,-87.963576,43.115618
20658,37644,110459336973,-87.963576,43.115618
20659,17311,110459341236,-87.955114,43.115547
20660,17316,110459341236,-87.955114,43.115547
20661,33343,110459336778,-87.955114,43.115547
20662,17311,110459341236,-87.953915,43.11554
20663,17319,110459341236,-87.953915,43.11554
20664,37476,110459336747,-87.953915,43.11554
20665,17315,110459341236,-87.96239,43.115614
20666,17318,110459341236,-87.96239,43.115614
20667,34473,110459336951,-87.96239,43.115614
20668,17320,110459346728,-87.946231,43.120096
20669,34838,1103735772021,-87.946231,43.120096
20670,34839,1103735772021,-87.946231,43.120096
20671,17325,110459342057,-87.914037,43.024215
20672,28724,110459335920,-87.914037,43.024215
20673,28732,110459335920,-87.914037,43.024215
20674,17334,1102390028266,-87.932946,43.016018
20675,24663,1102390028300,-87.932946,43.016018
20676,24667,1102390028300,-87.932946,43.016018
20677,17345,1102213778120,-87.917718,43.01008
20678,17346,1102213778120,-87.917718,43.01008
20679,24598,1102328138470,-87.917718,43.01008
20680,17345,1102213778120,-87.916793,43.010084
20681,24594,110459335964,-87.916793,43.010084
20682,24595,110459335964,-87.916793,43.010084
20683,17363,110459341526,-87.994508,43.069576
20684,33396,110459342240,-87.994508,43.069576
20685,33397,110459342240,-87.994508,43.069576
20686,17364,110459341526,-88.008712,43.069841
