OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,LatStart,LongStart,LatEnd,LongEnd,SegLength,Shape_Length
134,110459344107,Service Rd,M,S1400,42.928744,-88.053661,42.926703,-88.054697,264.6518065,0.001193643
135,110459344107,Service Rd,M,S1400,42.928744,-88.053661,42.926703,-88.054697,264.6518065,0.001095245
136,1102209736678, , ,S1400,42.901959,-88.054011,42.90251,-88.054002,95.2374615,0.000498454
137,1102209736678, , ,S1400,42.901959,-88.054011,42.90251,-88.054002,95.2374615,0.000436726
138,110459348455,Whitnall Park Dr,M,S1400,42.931335,-88.030046,42.922527,-88.028756,1214.638473,0.001054412
139,110459348455,Whitnall Park Dr,M,S1400,42.931335,-88.030046,42.922527,-88.028756,1214.638473,0.009547518
140,110459348455,Whitnall Park Dr,M,S1400,42.931335,-88.030046,42.922527,-88.028756,1214.638473,0.00010308
141,1102213932365,Kensington Way,M,S1400,42.905985,-88.028405,42.904871,-88.026833,196.7516928,0.001941386
142,110459347043,Cambridge Dr,M,S1400,42.908873,-88.025564,42.904871,-88.026833,514.8324559,0.004410629
143,1103716677046,35th St,M,S1400,42.926911,-87.958876,42.927383,-87.958904,57.42088995,0.000473176
144,110459344057,Redwood Ct,M,S1400,42.921663,-88.059393,42.921167,-88.059399,60.26197385,0.00049604
145,110459347575,Woodcrest Ct,M,S1400,42.918648,-88.059287,42.918483,-88.059509,28.19432449,0.000276624
146,1102213924748,Country Club Cir,M,S1400,42.8949,-88.008501,42.894787,-88.009694,111.160592,0.001222507
147,110459343726,Madison Ct,M,S1400,42.914041,-87.970379,42.914502,-87.970678,62.0460905,0.000549477
148,110459346555,McGinnis Dr,M,S1400,42.877031,-87.967246,42.87684,-87.970061,256.2294644,0.002843896
149,110459346672,Parkland Dr,M,S1400,42.890479,-87.997004,42.888336,-87.998103,330.3357615,0.003011741
150,110459348262,Pleasant View Cir,M,S1400,42.908616,-87.972284,42.908616,-87.972984,62.56066313,0.000478088
151,110459348262,Pleasant View Cir,M,S1400,42.908616,-87.972284,42.908616,-87.972984,62.56066313,0.000222192
152,1102390051476,Deerbrooke Ct,M,S1400,42.879805,-87.972979,42.880909,-87.971701,184.1433598,0.001767846
153,1103549297238,Robert McDonald Ct,M,S1400,42.910104,-88.029128,42.910086,-88.031722,231.6650181,0.002594063
154,110459341088,Carter Blvd,M,S1400,42.912327,-88.00927,42.912055,-88.007871,134.3920548,0.001459186
155,1105319714286, , ,S1400,42.929537,-87.963708,42.928755,-87.963649,95.15166286,0.000784223
156,1105319690722, , ,S1400,42.929537,-87.963708,42.92939,-87.96319,68.27806355,0.000678992
157,1102209746201, , ,S1400,42.924389,-88.044294,42.9237,-88.044323,84.15577137,0.000695359
158,1103690289972,Mulligan Ln,M,S1400,42.892354,-88.009742,42.891311,-88.008464,236.8308142,0.001368605
159,1103690289972,Mulligan Ln,M,S1400,42.892354,-88.009742,42.891311,-88.008464,236.8308142,0.000964075
160,110459346415,Hollyann Ln,M,S1400,42.890829,-88.007835,42.890665,-88.009356,138.5068245,0.000608847
161,110459346415,Hollyann Ln,M,S1400,42.890829,-88.007835,42.890665,-88.009356,138.5068245,0.000928193
162,1103679414618,Morningside Ct,M,S1400,42.889369,-88.008434,42.889302,-88.007834,54.40996625,0.000604927
163,110459348509,Whispering Oaks,M,S1400,42.904744,-88.022689,42.904028,-88.024856,225.2774783,0.002371641
164,110459347612,Canterbury Ct,M,S1400,42.909111,-88.011371,42.909325,-88.013577,203.9459884,0.002249706
165,110459348844, , ,S1400,42.897951,-88.059578,42.897459,-88.059632,59.96818563,0.000494966
166,110459348259,Mission Woods Ct,M,S1400,42.905076,-88.049915,42.906772,-88.050369,256.4601747,0.002296003
167,110459348256,Mission Hills Ct,M,S1400,42.908161,-88.054422,42.908958,-88.054805,104.197463,0.000904773
168,110459346194,Coronado Ct,M,S1400,42.907903,-88.051671,42.908291,-88.049688,247.6281347,0.002608033
169,1104487269300, , ,S1630,42.915868,-88.046515,42.915301,-88.047474,111.3454287,0.001125988
170,110459339260,107th St,M,S1400,42.921395,-88.047852,42.920853,-88.04786,65.85192905,0.000542061
171,1105319660483, , ,S1400,42.902432,-88.040884,42.89998,-88.041373,382.9801731,0.00354295
172,1105089425156, , ,S1630,43.118041,-87.919133,43.121073,-87.917673,399.606011,0.000649
173,1105089425156, , ,S1630,43.118041,-87.919133,43.121073,-87.917673,399.606011,0.002838945
174,1105089425157, , ,S1630,43.115003,-87.918651,43.118041,-87.919133,375.1013688,0.003128448
175,110459348862, , ,S1400,43.147515,-87.943702,43.147427,-87.943892,20.00200086,0.000209403
176,110459349237, , ,S1710,43.096756,-87.916073,43.096711,-87.918492,215.5324963,0.000967958
177,110459349237, , ,S1710,43.096756,-87.916073,43.096711,-87.918492,215.5324963,0.001452002
178,1103664363488,St Johns Ct,M,S1400,43.15915,-87.914213,43.159142,-87.914859,57.46614734,0.000646052
179,1105069115206, , ,S1630,43.146966,-87.915254,43.147721,-87.915013,94.71115253,0.000799561
180,1105072859077, , ,S1630,43.120784,-87.917207,43.121005,-87.916442,80.12636279,0.000843864
181,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.002941051
182,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.001396115
183,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.000978144
184,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.001181622
185,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.001074486
186,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.000623896
187,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.000794073
188,1103026326382,Edgehill Rd,M,S1400,42.940485,-88.002472,42.940014,-88.011954,938.1692401,0.001117561
189,110459340627,Tower Rd,M,S1400,42.938557,-88.00491,42.937394,-88.003996,167.2099783,0.001527944
190,110459342853,Dendron Ln,M,S1400,42.939529,-87.99746,42.936746,-87.997514,338.144693,0.001389283
191,110459342853,Dendron Ln,M,S1400,42.939529,-87.99746,42.936746,-87.997514,338.144693,0.000867139
192,110459342853,Dendron Ln,M,S1400,42.939529,-87.99746,42.936746,-87.997514,338.144693,0.000527118
193,110459341246,Dahlia Ln,M,S1400,42.936734,-87.998338,42.93752,-88.000274,199.4813286,0.001608101
194,110459341246,Dahlia Ln,M,S1400,42.936734,-87.998338,42.93752,-88.000274,199.4813286,0.000496736
195,1102390030486,Northway,M,S1400,42.944878,-87.9876,42.943438,-87.989229,237.8726742,0.00228598
196,110459342842,Currant Ln,M,S1400,42.939506,-87.995511,42.936775,-87.995516,331.9089531,0.001388283
197,110459342842,Currant Ln,M,S1400,42.939506,-87.995511,42.936775,-87.995516,331.9089531,0.001344504
198,110459344044,Radburn Ln,M,S1400,42.927118,-87.995017,42.928696,-87.994188,209.103934,0.001833301
199,110459342195,Saxony Ln,M,S1400,42.940499,-87.975282,42.93823,-87.975406,661.9215278,0.006823914
200,110459340260,Lilac Ln,M,S1400,42.939594,-87.982272,42.940399,-87.981776,509.8450439,0.00541164
201,110459346918,Woodgate Dr,M,S1400,42.945727,-88.018454,42.946361,-88.022171,343.9323727,0.000405083
202,110459346918,Woodgate Dr,M,S1400,42.945727,-88.018454,42.946361,-88.022171,343.9323727,0.001079258
203,110459346918,Woodgate Dr,M,S1400,42.945727,-88.018454,42.946361,-88.022171,343.9323727,0.001878162
204,110459346918,Woodgate Dr,M,S1400,42.945727,-88.018454,42.946361,-88.022171,343.9323727,0.00028307
205,110459346918,Woodgate Dr,M,S1400,42.945727,-88.018454,42.946361,-88.022171,343.9323727,0.000146173
